授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目
日本都市史,岩本 馨,1回生以上,前期,金3,工学部専門科目,建築学科,
日本建築史,冨島 義幸,3回生以上,後期,水1,工学部専門科目,建築学科,
建築情報処理演習,伊庭 千恵美・倉田 真宏・酒谷 粋将・稲益 博行・安田 渓・高取 伸光,2回生以上,後期,"金4,5",工学部専門科目,建築学科,
建築温熱環境設計,小椋 大輔・伊庭 千恵美,3回生以上,後期,火2,工学部専門科目,建築学科,
設計演習基礎,平田 晃久・猪股 圭佑・酒谷 粋将・岩瀨 諒子・榮家 志保・清山 陽平・杉中 瑞季・中村 景月・安田 渓,1回生以上,後期,"月4,5",工学部専門科目,建築学科,
世界建築史,冨島 義幸・岩本 馨,1回生以上,後期,月3,工学部専門科目,建築学科,
専門英語,"TSOI, Esther",4回生以上,前期,木4,工学部専門科目,建築学科,
建築造形実習,小見山 陽介・平野 利樹・安田 渓・清山 陽平,1回生以上,前期,"月3,4",工学部専門科目,建築学科,
建築設備計画法,原田 和典・小椋 大輔・石田 泰一郎・大谷 真・伊庭 千恵美・西野 智研・仁井 大策・新村 浩一,4回生以上,前期,水4,工学部専門科目,建築学科,
環境デザイン論,田路 貴浩・猪股 圭佑・小見山 陽介・早川 小百合,2回生以上,前期,水5,工学部専門科目,建築学科,
特別研究,谷 昌典,4回生以上,通年集中,集中講義,工学部専門科目,建築学科,
工学倫理,石田 泰一郎・泉田 啓・河瀬 元明・河原 達也・伊勢田 哲治・立場 貴文・藤本 仁・藤原 哲晶・鈴木 基史・市川 温・浦山 健治・金多 隆・川那辺 洋・林 和希・中川 雅之,4回生以上,前期,木3,工学部専門科目,,
工学序論,冨島 義幸・村上 定義・藤原 拓・加嶋 健司・吉井 和佳・木谷 哲夫・佐野 紀彰・石塚 師也,1回生以上,前期集中,集中講義,工学部専門科目,,
工学部国際インターンシップ１,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,
グローバル・リーダーシップセミナー I (企業調査研究),石塚 師也,2回生以上,通年集中,集中講義,工学部専門科目,,
工学部国際インターンシップ２,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充,2回生以上,後期集中,集中講義,工学部専門科目,,
電気電子回路,久門 尚史,1回生以上,後期,月5,工学部専門科目,電気電子工学科,
電磁気学１,松尾 哲司,2回生以上,後期,金2,工学部専門科目,電気電子工学科,
電磁気学２,松尾 哲司・雨宮 尚之,3回生以上,前期,月2,工学部専門科目,電気電子工学科,
電子回路,杉山 和彦,2回生以上,前期,金2,工学部専門科目,電気電子工学科,
論理回路,橋本 昌宜,2回生以上,前期,金1,工学部専門科目,電気電子工学科,
情報理論,林 和則・佐藤 丈博,2回生以上,後期,火1,工学部専門科目,電気電子工学科,
