授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目
Exercises in Infrastructure Design,KIM，SUNMIN,1回生以上,前期,"月1,木1",工学部専門科目,地球工学科,
Fundamental Mechanics,KIM Chul-Woo・八木 知己・松宮 央登,2回生以上,前期,月4,工学部専門科目,地球工学科,
Prob. & Statistical Analysis & Exercises,KIM，SUNMIN,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,
Design for Infrastructure I,宇野 伸宏・高橋 良和・岩井 裕正・KHAYYER ABBAS・KIM，SUNMIN,2回生以上,前期,木3,工学部専門科目,地球工学科,
Systems Analysis & Exe. for Plan. & Mng.,SCHMOECKER，Jan-Dirk,2回生以上,後期,"月1,2",工学部専門科目,地球工学科,
Soil Mechanics I and Exercises,渦岡 良介・澤村 康生・橋本 涼太・ZHU Fan,2回生以上,後期,"火3,4",工学部専門科目,地球工学科,
Engineering Mathematics B1,QURESHI，Ali Gul,2回生以上,後期,木2,工学部専門科目,地球工学科,
Structural Mechanics I and Exercises,KIM Chul-Woo・CHANG，Kai-Chun,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,
Dynamics of Soil and Structures,五十嵐 晃・後藤 浩之,3回生以上,前期,月2,工学部専門科目,地球工学科,
Construction Materials,山本 貴士・高谷 哲,3回生以上,前期,月1,工学部専門科目,地球工学科,
Structural Mechanics II and Exercises,後藤 浩之,3回生以上,前期,"月4,5",工学部専門科目,地球工学科,
Continuum Mechanics,五十里 洋行・KHAYYER ABBAS・ZHU Fan,3回生以上,前期,火5,工学部専門科目,地球工学科,
Fundamentals of Hydrology,市川 温・立川 康人・佐山 敬洋・山口 弘誠・萬 和明,3回生以上,前期,火3,工学部専門科目,地球工学科,
Soil Mechanics II and Exercises,安原 英明・岩井 裕正・橋本 涼太・ZHU Fan,3回生以上,前期,"水1,2",工学部専門科目,地球工学科,
Exp on Soil M & Ex,岸田 潔・渦岡 良介・後藤 浩之・岩井 裕正・上田 恭平・澤村 康生・高井 敦史・橋本 涼太・加藤 智大・Yu Rongguang・LU Zirui,3回生以上,前期,"水3,4",工学部専門科目,地球工学科,
Plan & Mng of S Sys,松田 曜子・QURESHI，Ali Gul・SCHMOECKER，Jan-Dirk,3回生以上,前期,木2,工学部専門科目,地球工学科,
Engineering Mathematics B2,SCHMOECKER，Jan-Dirk,3回生以上,前期,金1,工学部専門科目,地球工学科,
Experiments on Hydraulics,市川 温・後藤 仁志・立川 康人・原田 英治・川池 健司・山上 路生・森 信人・五十里 洋行・音田 慎一郎・志村 智也・田中 智大・山野井 一輝・萬 和明・田(cid:8443) 拓海・普神 素良・小柴 孝太・仲 ゆかり・松本 知将・宮下 卓也・山田 真史,3回生以上,後期,"木3,4",工学部専門科目,地球工学科,
Public Economics,大西 正光・中尾 聡史,3回生以上,前期,木1,工学部専門科目,地球工学科,
Urban and Regional Planning,QURESHI，Ali Gul,3回生以上,後期,月4,工学部専門科目,地球工学科,
Transportation Management Engineering,SCHMOECKER，Jan-Dirk,3回生以上,後期,月3,工学部専門科目,地球工学科,
Geoenvironmental Engineering,勝見 武・渦岡 良介,3回生以上,後期,火1,工学部専門科目,地球工学科,
Rock Engineering,岸田 潔・安原 英明・橋本 涼太・ZHU Fan,3回生以上,後期,火2,工学部専門科目,地球工学科,
Design for Infrastructure II,松宮 央登・KIM，SUNMIN,3回生以上,後期,火4,工学部専門科目,地球工学科,
Water Resources Engineering,立川 康人・堀 智晴・KIM，SUNMIN,3回生以上,後期,水1,工学部専門科目,地球工学科,
International Internship,松宮 央登,3回生以上,後期集中,集中講義,工学部専門科目,地球工学科,
"E & WR of S, & RSDP",北根 安雄・高橋 良和・八木 知己・後藤 浩之・野口 恭平・松本 理佐,3回生以上,後期,金3,工学部専門科目,地球工学科,
Concrete Engineering,山本 貴士・高谷 哲,3回生以上,後期,水5,工学部専門科目,地球工学科,
CP & Exp on Struct M,北根 安雄・古川 愛子・五十嵐 晃・KIM Chul-Woo・後藤 浩之・西藤 潤・松宮 央登・CHANG，Kai-Chun・植村 佳大・佐藤 顕彦・野口 恭平・松本 理佐,3回生以上,後期,"金4,5",工学部専門科目,地球工学科,
Graduation Research,市川 温・岩井 裕正,4回生以上,通年集中,集中講義,工学部専門科目,地球工学科,
Hydraulics I and Exercises,後藤 仁志・KHAYYER ABBAS・志村 智也,2回生以上,後期,"水3,4",工学部専門科目,地球工学科,
Hydraulics II,後藤 仁志・原田 英治・五十里 洋行・音田 慎一郎・KHAYYER ABBAS,3回生以上,前期,火4,工学部専門科目,地球工学科,
River/Coastal Engineering,後藤 仁志・山上 路生・音田 慎一郎・KHAYYER ABBAS・小林 草平・清水 裕真,3回生以上,後期,水2,工学部専門科目,地球工学科,
"Introduction to Civil, Environmental and Resources Eng",KIM，SUNMIN,1回生以上,前期,水4,工学部専門科目,地球工学科,
"Computer Prg in Civil, Environmental and Resources Eng",ZHU Fan,1回生以上,後期,木5,工学部専門科目,地球工学科,
特別研究(土木工学コース),市川 温・岩井 裕正,4回生以上,通年集中,集中講義,工学部専門科目,地球工学科,
特別研究(資源工学コース),林 為人・保田 尚俊,4回生以上,通年集中,集中講義,工学部専門科目,地球工学科,
特別研究(環境工学コース),平井 康宏・浅田 安廣,4回生以上,通年集中,集中講義,工学部専門科目,地球工学科,
工業数学Ａ１,柴山 允瑠,2回生以上,後期,木2,工学部専門科目,情報学科,
工業数学Ａ２,藤原 宏志,3回生以上,前期,水1,工学部専門科目,情報学科,
工業数学Ａ３,間瀬 崇史,3回生以上,前期,月2,工学部専門科目,情報学科,
工学倫理,石田 泰一郎・泉田 啓・河瀬 元明・河原 達也・伊勢田 哲治・立場 貴文・藤本 仁・藤原 哲晶・鈴木 基史・市川 温・浦山 健治・金多 隆・川那辺 洋・林 和希・中川 雅之,4回生以上,前期,木3,工学部専門科目,,
工学序論,冨島 義幸・村上 定義・藤原 拓・加嶋 健司・吉井 和佳・木谷 哲夫・佐野 紀彰・石塚 師也,1回生以上,前期集中,集中講義,工学部専門科目,,
工学部国際インターンシップ１,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,
グローバル・リーダーシップセミナー I (企業調査研究),石塚 師也,2回生以上,通年集中,集中講義,工学部専門科目,,
工学部国際インターンシップ２,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充,2回生以上,後期集中,集中講義,工学部専門科目,,
量子物理学１（材原宇）〈情報〉,伊藤 秋男,3回生以上,前期,金2,工学部専門科目,物理工学科,
量子物理学２（材原宇）〈情報〉,伊藤 秋男,3回生以上,後期,火1,工学部専門科目,物理工学科,
エレクトロニクス入門（機宇）〈情報〉,橋本 昌宜,2回生以上,前期,月4,工学部専門科目,物理工学科,
電子回路,杉山 和彦,2回生以上,前期,金2,工学部専門科目,電気電子工学科,
通信基礎論,原田 博司・香田 優介,3回生以上,前期,水1,工学部専門科目,電気電子工学科,
パワーエレクトロニクス,薄 良彦・持山 志宇・CASTELLAZZI，Alberto,3回生以上,前期,月1,工学部専門科目,電気電子工学科,
電気電子工学のための量子論,竹内 繁樹,3回生以上,前期,水4,工学部専門科目,電気電子工学科,
電気電子数学２,吉井 和佳,3回生以上,前期,水3,工学部専門科目,電気電子工学科,
電気電磁回路,久門 尚史,3回生以上,前期,火3,工学部専門科目,電気電子工学科,
プログラミング言語（計算機）,五十嵐 淳,2回生以上,後期,月2,工学部専門科目,情報学科,
計算機科学実験及演習２（計算機）,丁 世堯・近藤 一晃・和賀 正樹・井上 昂治・長野 匡隼,2回生以上,後期,"火3,4",工学部専門科目,情報学科,
数値解析,藤原 宏志,2回生以上,後期,水4,工学部専門科目,情報学科,
確率と統計,下平 英寿,3回生以上,前期,水2,工学部専門科目,情報学科,
グラフ理論（計算機）,川原 純,2回生以上,後期,木4,工学部専門科目,情報学科,
グラフ理論（数理）,神山 直之,2回生以上,前期,木2,工学部専門科目,情報学科,
応用代数学,辻本 諭,3回生以上,後期,月2,工学部専門科目,情報学科,
計算機科学実験及演習４（計算機）,BRSCIC， Drazen・井本 桂右・下西 慶・竹内 孝・近藤 一晃,3回生以上,後期,"木3,4,金1,2,3,4",工学部専門科目,情報学科,
アルゴリズム論,湊 真一,3回生以上,後期,木2,工学部専門科目,情報学科,
現代制御論（数理）,加嶋 健司・森本 淳,3回生以上,前期,火2,工学部専門科目,情報学科,
論理システム（計算機）,湊 真一,2回生以上,前期,水2,工学部専門科目,情報学科,
論理システム（数理）,福田 秀美,2回生以上,前期,水2,工学部専門科目,情報学科,
解析力学（数理）,田口 智清,2回生以上,後期,水2,工学部専門科目,情報学科,
線形制御理論,加嶋 健司・森本 淳,3回生以上,後期,水3,工学部専門科目,情報学科,
数理工学セミナー（数理）,筒 広樹・小林 克樹・原田 健自・寺前 順之介・山口 義幸,3回生以上,後期,金2,工学部専門科目,情報学科,
最適化（数理）,山下 信雄・神山 直之,3回生以上,後期,水2,工学部専門科目,情報学科,
力学系の数学,柴山 允瑠,3回生以上,前期,火3,工学部専門科目,情報学科,
信号とシステム,田中 利幸,3回生以上,前期,木1,工学部専門科目,情報学科,
計算機科学実験及演習３（計算機）,末永 幸平・川原 純・安戸 僚汰・和賀 正樹・池渕 未来・近藤 一晃・長野 匡隼,3回生以上,前期,"木3,4,5,金1,2,3,4,5",工学部専門科目,情報学科,
計算と論理,五十嵐 淳,3回生以上,後期,火2,工学部専門科目,情報学科,
基礎数理演習（数理）,小林 克樹・山口 義幸・筒 広樹・原田 健自,2回生以上,前期,"火3,4",工学部専門科目,情報学科,
プログラミング演習（数理:H30以前入学者）,山口 義幸・吉渡 叶・川越 大輔,2回生以上,前期,"月3,4",工学部専門科目,情報学科,
物理統計学（数理）,梅野 健,3回生以上,前期,木2,工学部専門科目,情報学科,
確率離散事象論,本多 淳也・田中 利幸,3回生以上,前期,月5,工学部専門科目,情報学科,
ソフトウェア工学（計算機）,伊藤 孝行・渥美 紀寿,3回生以上,後期,月3,工学部専門科目,情報学科,
オペレーティングシステム（計算機）,首藤 一幸,3回生以上,前期,火3,工学部専門科目,情報学科,
言語とオートマトン,山本 章博,2回生以上,後期,水1,工学部専門科目,情報学科,
情報と職業,谷口 忠大・BRSCIC， Drazen,4回生以上,前期,"金3,4",工学部専門科目,情報学科,
コンピュータネットワーク,岡部 寿男,3回生以上,前期,火1,工学部専門科目,情報学科,
アルゴリズムとデータ構造入門,伊藤 孝行,1回生以上,後期,月4,工学部専門科目,情報学科,
人工知能,神田 崇行,3回生以上,前期,水3,工学部専門科目,情報学科,
数理解析,藤原 宏志,4回生以上,前期,木4,工学部専門科目,情報学科,
生命情報学,阿久津 達也・熊田 孝恒,4回生以上,前期,火4,工学部専門科目,情報学科,
パターン認識と機械学習,河原 達也,3回生以上,後期,水2,工学部専門科目,情報学科,
非線形動力学（数理）,青柳 富誌生,3回生以上,前期,金3,工学部専門科目,情報学科,
数理工学実験,川越 大輔・吉渡 叶・筒 広樹・原田 健自,2回生以上,後期,"月3,4,火3,4",工学部専門科目,情報学科,
計算機の構成,藤井 啓祐,2回生以上,後期,水2,工学部専門科目,情報学科,
プログラミング言語処理系,末永 幸平,3回生以上,前期,月2,工学部専門科目,情報学科,
情報符号理論,谷口 忠大,2回生以上,前期,火1,工学部専門科目,情報学科,
電気電子回路入門,下田 宏・川山 巌,2回生以上,前期,水1,工学部専門科目,情報学科,
計算機科学のための数学演習,池渕 未来・新 恭兵・末永 幸平,2回生以上,前期,木4,工学部専門科目,情報学科,
システム工学実験（数理）,小池 元・富田 卓磨,3回生以上,前期,"木4,5,金4,5",工学部専門科目,情報学科,
計算機アーキテクチャ,岡部 寿男・岩下 武史,3回生以上,前期,月1,工学部専門科目,情報学科,
統計的モデリング基礎,鹿島 久嗣,3回生以上,前期,水4,工学部専門科目,情報学科,
計算機科学実験及演習１（計算機）,丁 世堯・鈴木 謙吾・近藤 一晃・新 恭兵,2回生以上,前期,"水3,4",工学部専門科目,情報学科,
メディア情報処理,河原 達也・中村 裕一,3回生以上,後期,火4,工学部専門科目,情報学科,
情報セキュリティ演習,岡部 寿男,3回生以上,前期集中,集中講義,工学部専門科目,情報学科,
情報符号理論続論,小渕 智之・本多 淳也,3回生以上,後期,火3,工学部専門科目,情報学科,
プログラミング演習（数理:H31以降入学者）,山口 義幸・吉渡 叶・川越 大輔,2回生以上,前期,"月3,4",工学部専門科目,情報学科,
最適化入門,山下 信雄,1回生以上,後期,木4,工学部専門科目,情報学科,
流体力学（数理）,田口 智清,3回生以上,後期,火2,工学部専門科目,情報学科,
ヒューマンコンピュータインタラクション,山下 直美,3回生以上,後期,水4,工学部専門科目,情報学科,
情報学概論,伊藤 孝行・森本 淳・寺前 順之介・本多 淳也・山下 直美・藤井 啓祐,1回生以上,前期,火2,工学部専門科目,情報学科,数理工学概論
データベースと情報検索,田島 敬史,3回生以上,後期,水3,工学部専門科目,情報学科,
特別研究１（計算機）,谷口 忠大,4回生以上,前期集中,集中講義,工学部専門科目,情報学科,
特別研究１（計算機）,谷口 忠大,4回生以上,後期集中,集中講義,工学部専門科目,情報学科,
特別研究１（数理）,辻本 諭,4回生以上,前期集中,集中講義,工学部専門科目,情報学科,
特別研究１（数理）,辻本 諭,4回生以上,後期集中,集中講義,工学部専門科目,情報学科,
特別研究２（計算機）,谷口 忠大,4回生以上,前期集中,集中講義,工学部専門科目,情報学科,
特別研究２（計算機）,谷口 忠大,4回生以上,後期集中,集中講義,工学部専門科目,情報学科,
特別研究２（数理）,辻本 諭,4回生以上,前期集中,集中講義,工学部専門科目,情報学科,
特別研究２（数理）,辻本 諭,4回生以上,後期集中,集中講義,工学部専門科目,情報学科,
工業数学Ａ１,柴山 允瑠,2回生以上,後期,木2,工学部専門科目,情報学科,
工業数学Ｆ１（機材エネ原：学番奇数）,西川 雅章,2回生以上,後期,火3,工学部専門科目,物理工学科,
工業数学Ｆ１（機材エネ原：学番偶数）,前川 孝,2回生以上,後期,火3,工学部専門科目,物理工学科,
工業数学Ａ２,藤原 宏志,3回生以上,前期,水1,工学部専門科目,情報学科,
工業数学Ｆ２（機：学番奇数）,加納 学・大塚 敏之,3回生以上,前期,火2,工学部専門科目,物理工学科,
工業数学Ｆ２（機：学番偶数）,瀬波 大土,3回生以上,前期,火2,工学部専門科目,物理工学科,
工業数学Ｆ２（材）,一井 崇・弓削 是貴,3回生以上,前期,火2,工学部専門科目,物理工学科,
工業数学Ｆ２（エネ原）,石澤 明宏・今寺 賢志,3回生以上,前期,金4,工学部専門科目,物理工学科,
工業数学Ａ３,間瀬 崇史,3回生以上,前期,月2,工学部専門科目,情報学科,
工業数学Ｆ３（機原）,井上 康博,3回生以上,後期,金2,工学部専門科目,物理工学科,
工業力学Ａ（機・宇）,寺川 達郎,3回生以上,前期,金1,工学部専門科目,物理工学科,
工業力学Ａ（エネ）,木下 勝之,3回生以上,前期,月1,工学部専門科目,物理工学科,
工学倫理,石田 泰一郎・泉田 啓・河瀬 元明・河原 達也・伊勢田 哲治・立場 貴文・藤本 仁・藤原 哲晶・鈴木 基史・市川 温・浦山 健治・金多 隆・川那辺 洋・林 和希・中川 雅之,4回生以上,前期,木3,工学部専門科目,,
工学序論,冨島 義幸・村上 定義・藤原 拓・加嶋 健司・吉井 和佳・木谷 哲夫・佐野 紀彰・石塚 師也,1回生以上,前期集中,集中講義,工学部専門科目,,
工学部国際インターンシップ１,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,
グローバル・リーダーシップセミナー I (企業調査研究),石塚 師也,2回生以上,通年集中,集中講義,工学部専門科目,,
工学部国際インターンシップ２,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充,2回生以上,後期集中,集中講義,工学部専門科目,,
計算機数学（原）,成田 絵美,2回生以上,前期,金2,工学部専門科目,物理工学科,
計算機数学（エネ）,蜂谷 寛・林 潤,2回生以上,前期,火1,工学部専門科目,物理工学科,
計算機数学（機：7・9・11組）,栗山 怜子,2回生以上,前期,木2,工学部専門科目,物理工学科,
計算機数学（機：8・10・12組）,舩田 陸・江口 佳那,2回生以上,前期,月2,工学部専門科目,物理工学科,
材料力学１（機宇：学番奇数）,嶋田 隆広,2回生以上,前期,水1,工学部専門科目,物理工学科,
材料力学１（機宇：学番偶数）,平方 寛之,2回生以上,前期,水1,工学部専門科目,物理工学科,
材料力学１（材エネ原：学番奇数）,澄川 貴志,2回生以上,前期,水1,工学部専門科目,物理工学科,
材料力学１（材エネ原：学番偶数）,安部 正高,2回生以上,前期,水1,工学部専門科目,物理工学科,
"材料力学２（機：7,8,9,10組）",西川 雅章・牧 功一郎,2回生以上,後期,金2,工学部専門科目,物理工学科,
"材料力学２（機：11,12組、宇）",琵琶 志朗,2回生以上,後期,金2,工学部専門科目,物理工学科,
材料力学２（材エネ原）,木下 勝之,2回生以上,後期,金2,工学部専門科目,物理工学科,
熱力学２（機宇）,岩井 裕・岸本 将史・栗山 怜子,2回生以上,後期,火1,工学部専門科目,物理工学科,
熱力学２（エネ原）,川那辺 洋,2回生以上,後期,月3,工学部専門科目,物理工学科,
材料基礎学１（機宇）,平方 寛之・嶋田 隆広,3回生以上,前期,水3,工学部専門科目,物理工学科,
材料基礎学１（エネ原）,小林 大志,2回生以上,後期,水1,工学部専門科目,物理工学科,
計測学（機エネ原：学番奇数）,横川 隆司・土屋 智由・河合 江美・三宅 正男・廣谷 潤,2回生以上,前期,金3,工学部専門科目,物理工学科,
計測学（機エネ原：学番偶数）,横川 隆司・土屋 智由・河合 江美・三宅 正男・廣谷 潤,2回生以上,前期,金3,工学部専門科目,物理工学科,
固体物理学（材エネ原宇）,中村 裕之,2回生以上,後期,木1,工学部専門科目,物理工学科,
応用電磁気学（機宇：学番奇数）,四竈 泰一,3回生以上,前期,火1,工学部専門科目,物理工学科,
応用電磁気学（機宇：学番偶数）,名村 今日子,3回生以上,前期,火1,工学部専門科目,物理工学科,
応用電磁気学（エネ原）,斉藤 学,3回生以上,前期,火1,工学部専門科目,物理工学科,
原子物理学（材エネ原宇）,間嶋 拓也,2回生以上,後期,金3,工学部専門科目,物理工学科,
量子物理学１（機：学番奇数）,鈴木 基史,3回生以上,後期,金3,工学部専門科目,物理工学科,
量子物理学１（機：学番偶数）,中嶋 薫,3回生以上,後期,金3,工学部専門科目,物理工学科,
量子物理学１（材原宇）〈情報〉,伊藤 秋男,3回生以上,前期,金2,工学部専門科目,物理工学科,
量子物理学２（機）,蓮尾 昌裕,4回生以上,前期,水1,工学部専門科目,物理工学科,
量子物理学２（材原宇）〈情報〉,伊藤 秋男,3回生以上,後期,火1,工学部専門科目,物理工学科,
連続体力学（エネ）,木下 勝之,3回生以上,前期,金3,工学部専門科目,物理工学科,
連続体力学（機）,安達 泰治,3回生以上,後期,火3,工学部専門科目,物理工学科,
エネルギー変換工学（エネ）,黒瀬 良一・林 潤,3回生以上,前期,金2,工学部専門科目,物理工学科,
エネルギー変換工学（機）,黒瀬 良一・林 潤,4回生以上,前期,金2,工学部専門科目,物理工学科,
振動工学（機）,中西 弘明・舩田 陸,3回生以上,後期,水1,工学部専門科目,物理工学科,
振動工学（宇）,泉田 啓,2回生以上,後期,月3,工学部専門科目,物理工学科,
制御工学１（機エネ原：学番奇数）,細田 耕・川節 拓実,3回生以上,前期,木1,工学部専門科目,物理工学科,
制御工学１（機エネ原：学番偶数）,大塚 敏之・東 俊一,3回生以上,前期,木1,工学部専門科目,物理工学科,
制御工学１（宇）,丸田 一郎,3回生以上,前期,月3,工学部専門科目,物理工学科,
制御工学２（機）,東 俊一・川節 拓実,3回生以上,後期,水3,工学部専門科目,物理工学科,
制御工学２（宇）,藤本 健治,3回生以上,後期,木2,工学部専門科目,物理工学科,
生産工学（機）,泉井 一浩,3回生以上,後期,水2,工学部専門科目,物理工学科,
結晶物性学（材エネ）,岸田 恭輔,3回生以上,前期,金1,工学部専門科目,物理工学科,
材料物理化学（エネ）,三宅 正男,3回生以上,後期,水2,工学部専門科目,物理工学科,
熱及び物質移動（材）,安田 秀幸,3回生以上,前期,水2,工学部専門科目,物理工学科,
熱及び物質移動（エネ）,奥村 英之・佐川 尚・小川 敬也,3回生以上,前期,月2,工学部専門科目,物理工学科,
プラズマ物理学（原宇）,村上 定義・森下 侑哉,3回生以上,後期,火2,工学部専門科目,物理工学科,
量子反応基礎論（原）,斉藤 学,3回生以上,後期,金3,工学部専門科目,物理工学科,
気体力学（宇）,高田 滋,3回生以上,前期,火2,工学部専門科目,物理工学科,
熱統計力学（宇）,江利口 浩二,3回生以上,前期,木1,工学部専門科目,物理工学科,
空気力学（宇）,高田 滋・辻 徹郎,3回生以上,後期,金2,工学部専門科目,物理工学科,
推進基礎論（宇）,江利口 浩二・占部 継一郎,3回生以上,後期,月1,工学部専門科目,物理工学科,
航空宇宙機力学（宇）,泉田 啓,3回生以上,後期,月2,工学部専門科目,物理工学科,
固体力学（宇）,琵琶 志朗,3回生以上,前期,月1,工学部専門科目,物理工学科,
物理工学演習１（エネ）,澄川 貴志,3回生以上,前期,月4,工学部専門科目,物理工学科,
物理工学演習１（原）,小暮 兼三・成田 絵美,3回生以上,前期,"火3,4",工学部専門科目,物理工学科,
物理工学演習１（宇）,石黒 隆久・髙木 洋平・上田 賢太郎,3回生以上,前期,"木3,4",工学部専門科目,物理工学科,
物理工学演習２（エネ）,川那辺 洋・松本 一彦・堀部 直人・小川 敬也・川西 咲子・林 一広・河合 江美,3回生以上,後期,火2,工学部専門科目,物理工学科,
物理工学演習２（原）,小暮 兼三・成田 絵美・全員,3回生以上,後期,"火4,5",工学部専門科目,物理工学科,
物理工学演習２（宇）,仲西 俊之・藤原 哲・佐々木 敦志,3回生以上,後期,"金3,4",工学部専門科目,物理工学科,
機械システム工学実験１（機）,"廣谷 潤・名村 今日子・PILLAI, Abhishek Lakshman・GUO Yuting・土屋 智由・竹田 宏典・坂野 幾海・若林 英信・馬 成・峯岸 美紗",3回生以上,前期,"水4,5",工学部専門科目,物理工学科,
機械システム工学実験１（機）,"廣谷 潤・名村 今日子・PILLAI, Abhishek Lakshman・土屋 智由・坂野 幾海・竹田 宏典・馬 成・峯岸 美紗・若林 英信",3回生以上,後期,"月4,5",工学部専門科目,物理工学科,
機械システム工学実験２（機）,廣谷 潤・名村 今日子・松永 航・若林 英信・中西 弘明・霜降 真希・金子 泰洸ポール・道川 稜平,3回生以上,前期,"木4,5",工学部専門科目,物理工学科,
機械システム工学実験２（機）,廣谷 潤・名村 今日子・松永 航・若林 英信・中西 弘明・霜降 真希・金子 泰洸ポール・道川 稜平,3回生以上,後期,"木1,2",工学部専門科目,物理工学科,
機械システム工学実験３（機）,廣谷 潤・名村 今日子・見波 将・韓 霽珂・加藤 祥太・松本 倫実・森川 健太郎・王 吟麗,3回生以上,前期,"金4,5",工学部専門科目,物理工学科,
機械システム工学実験３（機）,廣谷 潤・名村 今日子・見波 将・加藤 祥太・松本 倫実・森川 健太郎・王 吟麗,3回生以上,後期,"木4,5",工学部専門科目,物理工学科,
機械設計演習１（機）,西脇 眞二・中嶋 薫・藤本 和也・赤井 和輝・居初 有香・西村 公佑・盛島 明元・森本 敬・福田 昭徳・中澤 茉奈美,3回生以上,前期,"月4,5,金4,5",工学部専門科目,物理工学科,
機械設計演習１（機）,西脇 眞二・四竈 泰一・江口 佳那・福岡 智之,3回生以上,前期,"火4,5,木4,5",工学部専門科目,物理工学科,
機械設計演習１（機）,西脇 眞二・松本 充弘・中西 弘明・山村 眞哉・木場 敬志,3回生以上,前期,"水4,5,金4,5",工学部専門科目,物理工学科,
機械設計演習２（機）,小森 雅晴・平山 朋子・河野 大輔・金田 修一・湯川 伸次郎,3回生以上,後期,"月1,2,3,4",工学部専門科目,物理工学科,
機械製作実習（機）,河野 大輔・西脇 眞二・栗山 怜子・竹田 宏典・安達 眞聡・韓 霽珂・加藤 祥太・松永 航・GUO Yuting・王 吟麗・袴田 隆永・湯川 伸次郎・楠浦 崇央,2回生以上,後期,水5,工学部専門科目,物理工学科,
材料科学実験および演習１（材）,田畑 吉計,3回生以上,前期,"水3,4,木3,4",工学部専門科目,物理工学科,
材料科学実験および演習２（材）,田畑 吉計,3回生以上,後期,"水3,4,木3,4",工学部専門科目,物理工学科,
航空宇宙工学実験１（宇）,高田 滋・泉田 啓・初鳥 匡成・石井 陽介,3回生以上,前期,"金3,4",工学部専門科目,物理工学科,
航空宇宙工学実験２（宇）,高田 滋・占部 継一郎・丸田 一郎・杉元 宏,3回生以上,後期,"火3,4",工学部専門科目,物理工学科,
金属材料学（材）,辻 伸泰,3回生以上,後期,木2,工学部専門科目,物理工学科,
材料強度物性（材）,岸田 恭輔,3回生以上,後期,金1,工学部専門科目,物理工学科,
固体物性学（機）,中嶋 薫,4回生以上,前期,火2,工学部専門科目,物理工学科,
統計熱力学,松本 充弘・井上 康博,3回生以上,前期,金2,工学部専門科目,物理工学科,
統計熱力学（材エネ）,三宅 正男,3回生以上,後期,火3,工学部専門科目,物理工学科,
品質管理,西脇 眞二・泉井 一浩・吉川 豊次,4回生以上,前期,水4,工学部専門科目,物理工学科,
生物物理学,土田 秀次・田中 浩基・櫻井 良憲・高田 卓志・近藤 夏子・真田 悠生,3回生以上,前期,月2,工学部専門科目,物理工学科,
精密加工学（機）,河野 大輔・平山 朋子・安達 眞聡,4回生以上,前期,火1,工学部専門科目,物理工学科,
材料電気化学（材）,邑瀬 邦明・深見 一弘,3回生以上,前期,水1,工学部専門科目,物理工学科,
原子炉基礎演習・実験（原）,北村 康則・宇根崎 博信・卞 哲浩,4回生以上,前期,"月3,4",工学部専門科目,物理工学科,
物理工学総論Ａ,平山 朋子・嶋田 隆広・岩井 裕・長田 孝二・細田 耕・加納 学・藤本 和也・牧 功一郎・四竈 泰一・鈴木 基史・大和田 拓・泉田 啓・江利口 浩二・藤本 健治,1回生以上,後期,火1,工学部専門科目,物理工学科,
物理工学総論Ｂ,辻 伸泰・宇田 哲也・邑瀬 邦明・一井 崇・弓削 是貴・三宅 正男・池之上 卓己・成田 絵美・斉藤 学・佐々木 隆之・檜木 達也,1回生以上,前期,水5,工学部専門科目,物理工学科,
加速器工学（原）,土田 秀次,3回生以上,前期,水1,工学部専門科目,物理工学科,
放射化学（エネ原）,佐々木 隆之・小林 大志,3回生以上,後期,月1,工学部専門科目,物理工学科,
エネルギー・材料熱化学１（材エネ）,長谷川 将克,3回生以上,前期,月3,工学部専門科目,物理工学科,
エネルギー・材料熱化学２（材エネ）,長谷川 将克,3回生以上,後期,月2,工学部専門科目,物理工学科,
固体電子論（材）,黒川 修,3回生以上,前期,火1,工学部専門科目,物理工学科,
インターンシップ（機）,長田 孝二・岩井 裕,3回生以上,後期集中,集中講義,工学部専門科目,物理工学科,
インターンシップ（原）,土田 秀次,3回生以上,後期集中,集中講義,工学部専門科目,物理工学科,
物理工学英語（原）,斉藤 学・土田 秀次,4回生以上,前期集中,集中講義,工学部専門科目,物理工学科,
機械設計製作（機エネ宇）,西脇 眞二・安達 眞聡,2回生以上,前期,月3,工学部専門科目,物理工学科,
システム工学（エネ原）,川那辺 洋,3回生以上,後期,水1,工学部専門科目,物理工学科,
構造物性学（材）,辻 伸泰,3回生以上,前期,火3,工学部専門科目,物理工学科,
物質科学基礎（材）,邑瀬 邦明,2回生以上,前期,金3,工学部専門科目,物理工学科,
材料統計物理学（材）,田畑 吉計・弓削 是貴,2回生以上,後期,火2,工学部専門科目,物理工学科,
材料科学基礎１（材）,岸田 恭輔・世古 敦人,2回生以上,後期,水1,工学部専門科目,物理工学科,
