授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目,年度
工業数学Ｃ,小椋 大輔・大谷 真・西嶋 一欽・林 和希,2回生以上,後期,水3,工学部専門科目,建築学科,,2026
工学倫理,石田 泰一郎・泉田 啓・河瀬 元明・河原 達也・伊勢田 哲治・立場 貴文・藤本 仁・藤原 哲晶・鈴木 基史・市川 温・浦山 健治・金多 隆・川那辺 洋・林 和希・中川 雅之,4回生以上,前期,木3,工学部専門科目,,,2026
工学序論,冨島 義幸・村上 定義・藤原 拓・加嶋 健司・吉井 和佳・木谷 哲夫・佐野 紀彰・石塚 師也,1回生以上,前期集中,集中講義,工学部専門科目,,,2026
工学部国際インターンシップ１,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,,2026
グローバル・リーダーシップセミナー I (企業調査研究),石塚 師也,2回生以上,通年集中,集中講義,工学部専門科目,,,2026
工学部国際インターンシップ２,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,,2026
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充,2回生以上,後期集中,集中講義,工学部専門科目,,,2026
地球工学総論,宇野 伸宏・高井 敦史,4回生以上,前期,水4,工学部専門科目,地球工学科,,2026
建築計画学Ｉ,三浦 研・酒谷 粋将,2回生以上,後期,火2,工学部専門科目,建築学科,,2026
住居計画学,柳沢 究,2回生以上,後期,水2,工学部専門科目,建築学科,,2026
設計演習Ｉ,柳沢 究・西野 佐弥香・猪股 圭佑・小見山 陽介・酒谷 粋将・岩瀨 諒子・魚谷 繁礼・畑 友洋・榮家 志保,2回生以上,前期,"月5,金4,5",工学部専門科目,建築学科,,2026
設計演習II,田路 貴浩・神吉 紀世子・平田 晃久・小林 広英・榮家 志保・河井 敏明・高野 洋平・山田 紗子・岩瀨 諒子,2回生以上,後期,"月4,5",工学部専門科目,建築学科,,2026
建築環境工学Ｉ,原田 和典・小椋 大輔,2回生以上,前期,水2,工学部専門科目,建築学科,,2026
建築環境工学II,石田 泰一郎・大谷 真,2回生以上,後期,金2,工学部専門科目,建築学科,,2026
