授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目,年度
工業数学Ｃ,大﨑 純・小椋 大輔・大谷 真・西嶋 一欽,2回生以上,後期,水3,工学部専門科目,建築学科,,2024
工学倫理,市川 温・新津 葵一・関 修平・東口 顕士・伊勢田 哲治・清水 雄也・杉安 和憲・今堀 博・梅野 健・大﨑 純・高木 郁二・西脇 眞二・伊藤 禎彦・大和田 拓・須崎 純一・正直 花奈子・中川 雅之,4回生以上,前期,木3,工学部専門科目,,,2024
工学序論,"関 修平・鹿島 久嗣・神吉 紀世子・高橋 良和・木谷 哲夫・鈴木 基史・中村 祐司・石塚 師也・KOWHAKUL, Wasana",1回生以上,前期集中,集中講義,工学部専門科目,,,2024
工学部国際インターンシップ１,"KOWHAKUL, Wasana・本多 充",3回生以上,通年集中,集中講義,工学部専門科目,,,2024
グローバル・リーダーシップセミナー I (企業調査研究),平井 義和,2回生以上,通年集中,集中講義,工学部専門科目,,,2024
工学部国際インターンシップ２,"KOWHAKUL, Wasana・本多 充",3回生以上,通年集中,集中講義,工学部専門科目,,,2024
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充・平井 義和,2回生以上,後期集中,集中講義,工学部専門科目,,,2024
地球工学総論,後藤 仁志・古川 愛子,4回生以上,前期,水4,工学部専門科目,建築学科,,2024
建築計画学Ｉ,三浦 研,2回生以上,後期,火2,工学部専門科目,建築学科,,2024
住居計画学,柳沢 究,2回生以上,後期,水2,工学部専門科目,建築学科,,2024
設計演習Ｉ,田路 貴浩・柳沢 究・西野 佐弥香・小見山 陽介・魚谷 繁礼・山田 紗子・畑 友洋・岩瀨 諒子・早川 小百合,2回生以上,前期,"月5,金4,5",工学部専門科目,建築学科,,2024
設計演習II,平田 晃久・神吉 紀世子・田路 貴浩・小林 広英・柳沢 究・岩瀨 諒子・杉中 瑞季・中山 英之・河井 敏明・高野 洋平,2回生以上,後期,"月4,5",工学部専門科目,建築学科,,2024
建築環境工学Ｉ,原田 和典・小椋 大輔,2回生以上,前期,水2,工学部専門科目,建築学科,,2024
建築環境工学II,石田 泰一郎・大谷 真,2回生以上,後期,金2,工学部専門科目,建築学科,,2024
建築構造力学Ｉ,大﨑 純・張 景耀,2回生以上,前期,金1,工学部専門科目,建築学科,,2024
建築構造力学II,荒木 慶一・藤田 皓平・林 和希,2回生以上,後期,金1,工学部専門科目,建築学科,,2024
建築材料,西山 峰広・聲高 裕治・杉野 未奈,2回生以上,後期,月2,工学部専門科目,建築学科,,2024
建築設計論,平田 晃久,2回生以上,前期,月2,工学部専門科目,建築学科,,2024
都市設計学,小林 広英・落合 知帆,3回生以上,前期,月3,工学部専門科目,建築学科,,2024
建築設備システム,小椋 大輔・石田 泰一郎・伊庭 千恵美,3回生以上,前期,木1,工学部専門科目,建築学科,,2024
鉄筋コンクリート構造Ｉ,西山 峰広・谷 昌典,3回生以上,前期,金2,工学部専門科目,建築学科,,2024
鉄骨構造Ｉ,池田 芳樹・聲高 裕治,3回生以上,前期,木2,工学部専門科目,建築学科,,2024
建築生産Ｉ,金多 隆・西野 佐弥香,2回生以上,前期,水1,工学部専門科目,建築学科,,2024
建築構造力学III,大﨑 純・荒木 慶一・張 景耀・藤田 皓平,3回生以上,前期,"火2,水2",工学部専門科目,建築学科,,2024
建築環境工学演習,原田 和典・小椋 大輔・石田 泰一郎・大谷 真・伊庭 千恵美・西野 智研・仁井 大策・高取 伸光,4回生以上,前期,"水1,2",工学部専門科目,建築学科,,2024
建築計画学II,三浦 研,4回生以上,前期,水3,工学部専門科目,建築学科,,2024
建築生産II,金多 隆・西野 佐弥香・木内 利夫,3回生以上,後期,火1,工学部専門科目,建築学科,,2024
建築論,田路 貴浩・早川 小百合,3回生以上,前期,水3,工学部専門科目,建築学科,,2024
都市・地域論,神吉 紀世子,3回生以上,後期,木2,工学部専門科目,建築学科,,2024
建築光・音環境学,石田 泰一郎・大谷 真,3回生以上,前期,月1,工学部専門科目,建築学科,,2024
建築構造解析,池田 芳樹・荒木 慶一,3回生以上,後期,水2,工学部専門科目,建築学科,,2024
建築基礎構造,境 有紀・藤田 皓平・長嶋 史明,4回生以上,前期,月2,工学部専門科目,建築学科,,2024
耐震構造,杉野 未奈,3回生以上,後期,水3,工学部専門科目,建築学科,,2024
鉄筋コンクリート構造II,西山 峰広・谷 昌典,3回生以上,後期,月3,工学部専門科目,建築学科,,2024
鉄骨構造II,聲高 裕治・倉田 真宏・稲益 博行,3回生以上,後期,月2,工学部専門科目,建築学科,,2024
設計演習III,平田 晃久・金多 隆・神吉 紀世子・冨島 義幸・岩本 馨・清山 陽平・大西 麻貴,3回生以上,前期,"月4,5,金4,5",工学部専門科目,建築学科,,2024
設計演習IV,平田 晃久・三浦 研・山本 麻子・藤本 壮介・清山 陽平・早川 小百合,3回生以上,後期,"月5,火3,4,5,水5",工学部専門科目,建築学科,,2024
景観デザイン論,田路 貴浩・小見山 陽介,2回生以上,前期,水5,工学部専門科目,建築学科,,2024
耐風構造,西嶋 一欽,4回生以上,前期,火2,工学部専門科目,建築学科,,2024
建築・都市行政,山本 一博・髙木 勝英・文山 達昭,2回生以上,前期,水4,工学部専門科目,建築学科,,2024
設計演習Ｖ,平田 晃久・金多 隆・神吉 紀世子・冨島 義幸・三浦 研・DANIELL，Thomas Charles・田路 貴浩・小林 広英・牧 紀男・柳沢 究・吉田 哲・西野 佐弥香・小見山 陽介・岩瀨 諒子・安田 渓,4回生以上,前期,"火3,4,5,水5",工学部専門科目,建築学科,,2024
構造設計演習,西山 峰広・聲高 裕治・谷 昌典・佐藤 裕一,4回生以上,前期,"金4,5",工学部専門科目,建築学科,,2024
