授業科目名,担当者名,配当学年,開講期,曜時限,群,学科,前身科目,年度
無機化学II（先端化学）［工化1・工化3］,安部 武志・大木 靖弘・松井 敏明・古川 修平・高津 浩・磯崎 勝弘・中田 明伸,3回生以上,前期,月2,工学部専門科目,理工化学科,,2025
無機化学II（先端化学）［工化2・工化4］,安部 武志・大木 靖弘・松井 敏明・古川 修平・高津 浩・磯崎 勝弘・中田 明伸,3回生以上,前期,月2,工学部専門科目,理工化学科,,2025
生化学I（先端化学）,三木 裕明・浜地 格・跡見 晴幸・佐藤 喬章・船戸 洋佑・高橋 重成,3回生以上,前期,火1,工学部専門科目,理工化学科,,2025
高分子化学概論I（先端化学）,生越 友樹,3回生以上,前期,木2,工学部専門科目,理工化学科,,2025
有機化学III（先端化学）,近藤 輝幸・木村 祐・山本 武司,3回生以上,後期,火2,工学部専門科目,理工化学科,,2025
物理化学III（先端化学）,東口 顕士・東野 智洋,3回生以上,後期,火1,工学部専門科目,理工化学科,,2025
高分子化学概論II（先端化学）,梶 弘典・志津 功將・鈴木 克明,3回生以上,後期,水2,工学部専門科目,理工化学科,,2025
化学統計力学（先端化学）,関 修平,4回生以上,前期,月2,工学部専門科目,理工化学科,,2025
先端機器分析科学（先端化学）,作花 哲夫・萩中 淳・稲田 康宏・垣内 隆,4回生以上,前期,水2,工学部専門科目,理工化学科,,2025
有機化学IV（先端化学）,村田 靖次郎・三木 康嗣,4回生以上,前期,金2,工学部専門科目,理工化学科,,2025
先端化学実験I（先端化学）,佐藤 啓文・先端化学実験関連教員,3回生以上,前期,"火3,4,5,水3,4,5,木3,4,5",工学部専門科目,理工化学科,,2025
先端化学実験II（先端化学）,佐藤 啓文・先端化学実験関連教員,3回生以上,後期,"火3,4,5,水3,4,5,木3,4,5",工学部専門科目,理工化学科,,2025
無機化学III（先端化学）,陰山 洋・高井 茂臣・水落 憲和・高津 浩,3回生以上,後期,金1,工学部専門科目,理工化学科,,2025
物理化学Ia（先端化学）,田中 隆行・井口 翔之,2回生以上,後期,水2,工学部専門科目,理工化学科,,2025
物理化学Ib（先端化学）,関 修平,2回生以上,後期,木2,工学部専門科目,理工化学科,,2025
科学英語（先端化学）［工化1・工化3］,高橋 重成・寺村 謙太郎・三木 康嗣・BOLSTAD，Francesco,3回生以上,後期,月3,工学部専門科目,理工化学科,,2025
科学英語（先端化学）［工化2・工化4］,高橋 重成・寺村 謙太郎・三木 康嗣・BOLSTAD，Francesco,3回生以上,後期,月4,工学部専門科目,理工化学科,,2025
分析化学II（先端化学）,安部 武志・梶 弘典・西 直哉・田村 朋則・横山 悠子,3回生以上,前期,火2,工学部専門科目,理工化学科,,2025
理工化学概論,安部 武志・大北 英生・三浦 清貴・阿部 竜・大宮 寛久・藤原 哲晶・野中 洋・三木 裕明・杉野目 道紀・水落 憲和・沼田 圭司・佐々木 善浩・外輪 健一郎・河瀬 元明,1回生以上,前期,水1,工学部専門科目,理工化学科,,2025
特別研究（H18年以降入学者）,生越 友樹,4回生以上,通年集中,集中講義,工学部専門科目,理工化学科,,2025
工業数学B1（T1・T2）,原田 英治,2回生以上,後期,水5,工学部専門科目,地球工学科,,2025
工業数学B1（T3・T4）,西藤 潤,2回生以上,後期,金3,工学部専門科目,地球工学科,,2025
工学倫理,新津 葵一・石田 泰一郎・今堀 博・鈴木 基史・立場 貴文・梅野 健・杉安 和憲・花崎 秀史・河瀬 元明・岸田 恭輔・大西 正光・金多 隆・伊藤 禎彦・林 和希・中川 雅之,4回生以上,前期,木3,工学部専門科目,,,2025
工学序論,山本 貴士・荒木 慶一・花崎 秀史・野村 泰伸・生越 友樹・伊藤 孝行・木谷 哲夫・石塚 師也,1回生以上,前期集中,集中講義,工学部専門科目,,,2025
工学部国際インターンシップ１,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,,2025
グローバル・リーダーシップセミナー I (企業調査研究),平井 義和,2回生以上,通年集中,集中講義,工学部専門科目,,,2025
工学部国際インターンシップ２,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,,2025
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充・平井 義和,2回生以上,後期集中,集中講義,工学部専門科目,,,2025
確率統計解析及び演習(T1),亀田 貴之・大下 和徹,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,,2025
確率統計解析及び演習(T2),藤見 俊夫,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,,2025
確率統計解析及び演習(T3),小林 草平,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,,2025
確率統計解析及び演習(T4),廣井 慧,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,,2025
構造力学Ｉ及び演習,北根 安雄,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,,2025
構造力学Ｉ及び演習,八木 知己,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,,2025
構造力学Ｉ及び演習,松宮 央登,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,,2025
構造力学Ｉ及び演習,古川 愛子,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,,2025
一般力学(T1・T2),松宮 央登,2回生以上,前期,月2,工学部専門科目,地球工学科,,2025
一般力学(T3・T4),林 為人・石塚 師也,2回生以上,前期,月4,工学部専門科目,地球工学科,,2025
環境生物・化学,越後 信哉・浅田 安廣,2回生以上,後期,火1,工学部専門科目,地球工学科,,2025
材料学,山本 貴士・高谷 哲,3回生以上,前期,月2,工学部専門科目,地球工学科,,2025
コンクリート工学,高橋 良和・山本 貴士・高谷 哲,3回生以上,後期,金2,工学部専門科目,地球工学科,,2025
水文学基礎,市川 温・立川 康人・佐山 敬洋・山口 弘誠・萬 和明,3回生以上,前期,火5,工学部専門科目,地球工学科,,2025
水資源工学,立川 康人・堀 智晴・KIM，SUNMIN,3回生以上,後期,水2,工学部専門科目,地球工学科,,2025
社会システム計画論,多々納 裕一・藤見 俊夫・松田 曜子,3回生以上,前期,木1,工学部専門科目,地球工学科,,2025
都市・地域計画,松中 亮治・西垣 友貴,3回生以上,後期,月4,工学部専門科目,地球工学科,,2025
水質学,藤原 拓・田中 周平・西村 文武,3回生以上,前期,月2,工学部専門科目,地球工学科,,2025
上水道工学,伊藤 禎彦・越後 信哉・中西 智宏,3回生以上,後期,月2,工学部専門科目,地球工学科,,2025
下水道工学,藤原 拓・西村 文武・日髙 平・竹内 悠・野村 洋平,3回生以上,後期,月1,工学部専門科目,地球工学科,,2025
放射線衛生工学,島田 洋子,3回生以上,前期,火2,工学部専門科目,地球工学科,,2025
廃棄物工学,高岡 昌輝・平井 康宏,3回生以上,後期,月3,工学部専門科目,地球工学科,,2025
環境装置工学,高岡 昌輝・大下 和徹・原田 浩希,3回生以上,前期,水2,工学部専門科目,地球工学科,,2025
分離工学,袴田 昌高・日下 英史,3回生以上,後期,木1,工学部専門科目,地球工学科,,2025
公共経済学,多々納 裕一・大西 正光,3回生以上,前期,木2,工学部専門科目,地球工学科,,2025
材料実験,山本 貴士・植村 佳大・高谷 哲,4回生以上,前期,"月3,4",工学部専門科目,地球工学科,,2025
水理実験(R1以前入学者),市川 温・後藤 仁志・立川 康人・原田 英治・川池 健司・山上 路生・森 信人・五十里 洋行・音田 慎一郎・志村 智也・山口 弘誠・萬 和明・清水 裕真・田中 智大・田﨑 拓海・小柴 孝太・宮下 卓也・山野井 一輝・山田 真史,3回生以上,後期,"木3,4",工学部専門科目,地球工学科,,2025
建築工学概論<地球>,荒木 慶一・聲高 裕治・松島 信一・谷 昌典,4回生以上,後期,月1,工学部専門科目,地球工学科,,2025
土質力学II及び演習,肥後 陽介・渦岡 良介・澤村 康生,3回生以上,前期,"水1,2",工学部専門科目,地球工学科,,2025
波動・振動学,五十嵐 晃・後藤 浩之,3回生以上,前期,月3,工学部専門科目,地球工学科,,2025
連続体の力学,後藤 仁志・肥後 陽介・田﨑 拓海,3回生以上,前期,火3,工学部専門科目,地球工学科,,2025
計画システム分析及び演習,藤井 聡・川端 祐一郎・藤見 俊夫・大庭 哲治・田中 皓介・西垣 友貴,2回生以上,後期,"月1,2",工学部専門科目,地球工学科,,2025
土質実験及び演習,岸田 潔・渦岡 良介・後藤 浩之・岩井 裕正・澤村 康生・橋本 涼太・高井 敦史・上田 恭平・三好 貴子・LU Zirui・Yu Rongguang,3回生以上,前期,"水3,4",工学部専門科目,地球工学科,,2025
大気・地球環境工学,藤森 真一郎・大城 賢,3回生以上,前期,月1,工学部専門科目,地球工学科,,2025
環境工学実験1,藤原 拓・田中 周平・西村 文武・日髙 平・竹内 悠・野村 洋平,3回生以上,前期,"月3,4,5",工学部専門科目,地球工学科,,2025
先端資源エネルギー工学,小池 克明・浜 孝之・福山 英一・藤本 仁・馬渕 守・村田 澄彦・林 為人・奈良 禎太・袴田 昌高,3回生以上,後期,金3,工学部専門科目,地球工学科,,2025
学外実習(土木工学コース),松中 亮治・岩井 裕正,3回生以上,後期集中,集中講義,工学部専門科目,地球工学科,,2025
学外実習(環境工学コース),田中 周平,3回生以上,後期集中,集中講義,工学部専門科目,地球工学科,,2025
空間情報学,須崎 純一・畑山 満則,3回生以上,後期,木2,工学部専門科目,地球工学科,,2025
構造実験・解析演習,北根 安雄・五十嵐 晃・後藤 浩之・西藤 潤・古川 愛子・松宮 央登・植村 佳大・野口 恭平・松本 理佐,3回生以上,後期,"金4,5",工学部専門科目,地球工学科,,2025
耐震・耐風・設計論,北根 安雄・高橋 良和・八木 知己・後藤 浩之・野口 恭平・松本 理佐,3回生以上,後期,金3,工学部専門科目,地球工学科,,2025
地盤環境工学,勝見 武・渦岡 良介,3回生以上,後期,火2,工学部専門科目,地球工学科,,2025
交通マネジメント工学,藤井 聡・山田 忠史・川端 祐一郎,3回生以上,後期,月3,工学部専門科目,地球工学科,,2025
環境工学実験2,亀田 貴之・高岡 昌輝・島田 洋子・大下 和徹・原田 浩希・山本 浩平・五味 良太・安井 碧・池上 麻衣子・土屋 望・本間 亮介,3回生以上,後期,"火3,4,5",工学部専門科目,地球工学科,,2025
波動工学,武川 順一・吉光 奈奈,3回生以上,後期,月4,工学部専門科目,地球工学科,,2025
熱流体工学,藤本 仁,3回生以上,後期,金2,工学部専門科目,地球工学科,,2025
土質力学Ｉ及び演習,勝見 武・岸田 潔・肥後 陽介・安原 英明・岩井 裕正・高井 敦史・橋本 涼太・上田 恭平,2回生以上,後期,"火3,4",工学部専門科目,地球工学科,,2025
都市景観デザイン,川崎 雅史・山口 敬太・谷川 陸,3回生以上,後期,"火3,4",工学部専門科目,地球工学科,,2025
構造力学II及び演習(A班),高橋 良和,3回生以上,前期,"月4,5",工学部専門科目,地球工学科,,2025
構造力学II及び演習(B班),西藤 潤,3回生以上,前期,"月4,5",工学部専門科目,地球工学科,,2025
構造力学II及び演習(C班),五十嵐 晃,3回生以上,前期,"月4,5",工学部専門科目,地球工学科,,2025
流体力学,藤本 仁,3回生以上,前期,月3,工学部専門科目,地球工学科,,2025
物理化学,馬渕 守,3回生以上,前期,水3,工学部専門科目,地球工学科,,2025
工業数学B2(土木工学コース),古川 愛子,3回生以上,前期,金1,工学部専門科目,地球工学科,,2025
工業数学B2(資源工学コース),福山 英一,3回生以上,前期,火2,工学部専門科目,地球工学科,,2025
岩盤工学(土木工学コース),岸田 潔・安原 英明・橋本 涼太,3回生以上,後期,火1,工学部専門科目,地球工学科,,2025
岩盤工学(資源工学コース),林 為人・奈良 禎太,3回生以上,後期,火2,工学部専門科目,地球工学科,,2025
材料と塑性,浜 孝之・馬渕 守,3回生以上,後期,月3,工学部専門科目,地球工学科,,2025
社会基盤デザインＩ,宇野 伸宏・後藤 仁志・高橋 良和・岩井 裕正・山口 敬太,2回生以上,前期,木2,工学部専門科目,地球工学科,,2025
社会基盤デザインＩＩ,松中 亮治・岩井 裕正,3回生以上,後期,火5,工学部専門科目,地球工学科,,2025
測量学及び実習(H27以降入学者),須崎 純一・畑山 満則・大庭 哲治・廣井 慧・田中 皓介・谷川 陸・石井 順恵,3回生以上,前期,"金2,3,4",工学部専門科目,地球工学科,,2025
科学英語（地球）（T1）,日髙 平・Stephen Gill,2回生以上,前期,水4,工学部専門科目,地球工学科,,2025
科学英語（地球）（T1）,日髙 平・Stephen Gill,2回生以上,前期,水3,工学部専門科目,地球工学科,,2025
科学英語（地球）（T2）,日髙 平・Stephen Gill,2回生以上,前期,木3,工学部専門科目,地球工学科,,2025
科学英語（地球）（T2）,日髙 平・Karin L. Swanson,2回生以上,前期,木4,工学部専門科目,地球工学科,,2025
科学英語（地球）（T3）,日髙 平・Stephen Gill,2回生以上,後期,月4,工学部専門科目,地球工学科,,2025
科学英語（地球）（T3）,日髙 平・Stephen Gill,2回生以上,後期,月5,工学部専門科目,地球工学科,,2025
科学英語（地球）（T4）,日髙 平・Karin L. Swanson,2回生以上,後期,木3,工学部専門科目,地球工学科,,2025
科学英語（地球）（T4）,日髙 平・Stephen Gill,2回生以上,後期,木4,工学部専門科目,地球工学科,,2025
資源情報解析学,小池 克明・柏谷 公希・武川 順一・石塚 師也・神谷 奈々,4回生以上,前期,月4,工学部専門科目,地球工学科,,2025
固体の力学物性と破壊,村田 澄彦,3回生以上,後期,水2,工学部専門科目,地球工学科,,2025
弾性体の力学解析,村田 澄彦,3回生以上,前期,"月1,2",工学部専門科目,地球工学科,,2025
数値計算法及び演習,浜 孝之・福山 英一,3回生以上,後期,"月1,2",工学部専門科目,地球工学科,,2025
資源工学基礎実験,福山 英一・武川 順一・奈良 禎太・日下 英史・神谷 奈々・小林 和弥・吉光 奈奈,3回生以上,前期,"木3,4,5",工学部専門科目,地球工学科,,2025
資源工学フィールド実習,小池 克明・柏谷 公希・武川 順一・神谷 奈々・久保 大樹・陳 友晴,3回生以上,後期,"火3,4,5",工学部専門科目,地球工学科,,2025
地質工学,小池 克明・林 為人・柏谷 公希,3回生以上,前期,火3,工学部専門科目,地球工学科,,2025
資源工学入門,小池 克明・村田 澄彦・柏谷 公希,2回生以上,前期,月3,工学部専門科目,地球工学科,,2025
貯留層工学,村田 澄彦,4回生以上,前期,金2,工学部専門科目,地球工学科,,2025
社会防災工学,大西 正光・多々納 裕一・畑山 満則・矢守 克也・中野 元太・廣井 慧・藤見 俊夫,4回生以上,前期,月2,工学部専門科目,地球工学科,,2025
物理探査学,武川 順一・吉光 奈奈,3回生以上,前期,火4,工学部専門科目,地球工学科,,2025
環境工学解析演習,越後 信哉・松田 俊・矢野 順也・山本 浩平・多田 悠人,3回生以上,後期,"金4,5",工学部専門科目,地球工学科,,2025
水理学I 及び演習,後藤 仁志・原田 英治・五十里 洋行・音田 慎一郎・清水 裕真・田﨑 拓海,2回生以上,後期,"水3,4",工学部専門科目,地球工学科,,2025
水理学II,後藤 仁志・原田 英治・山上 路生・音田 慎一郎・田﨑 拓海,3回生以上,前期,火4,工学部専門科目,地球工学科,,2025
河川・海岸工学,後藤 仁志・原田 英治・山上 路生・五十里 洋行・音田 慎一郎・小林 草平,3回生以上,後期,水1,工学部専門科目,地球工学科,,2025
水理実験(R2以降入学者),市川 温・後藤 仁志・立川 康人・原田 英治・川池 健司・山上 路生・森 信人・五十里 洋行・音田 慎一郎・志村 智也・山口 弘誠・萬 和明・清水 裕真・田中 智大・田﨑 拓海・小柴 孝太・宮下 卓也・山野井 一輝・山田 真史,3回生以上,後期,"木3,4",工学部専門科目,地球工学科,,2025
地球工学総論,高岡 昌輝・日髙 平,1回生以上,前期,水4,工学部専門科目,地球工学科,,2025
情報処理及び演習(T1),島田 洋子・矢野 順也,1回生以上,後期,木2,工学部専門科目,地球工学科,,2025
情報処理及び演習(T2),袴田 昌高・宮澤 直己,1回生以上,後期,月1,工学部専門科目,地球工学科,,2025
情報処理及び演習(T3),澤村 康生・植村 佳大,1回生以上,後期,月4,工学部専門科目,地球工学科,,2025
情報処理及び演習(T4),松中 亮治・五十里 洋行,1回生以上,後期,木4,工学部専門科目,地球工学科,,2025
地球工学基礎数理（T1）,市川 温・八木 知己,2回生以上,前期,金1,工学部専門科目,地球工学科,,2025
地球工学基礎数理（T2）,宇野 伸宏・澤村 康生,2回生以上,前期,金1,工学部専門科目,地球工学科,,2025
地球工学基礎数理（T3）,田中 周平・平井 康宏,2回生以上,前期,金1,工学部専門科目,地球工学科,,2025
地球工学基礎数理（T4）,奈良 禎太・袴田 昌高,2回生以上,前期,金1,工学部専門科目,地球工学科,,2025
地球工学デザインA,川崎 雅史・高橋 良和・八木 知己・山口 敬太・長濱 伸貴・丹羽 信弘・八木 弘毅,4回生以上,前期,"火3,4",工学部専門科目,地球工学科,,2025
地球工学デザインB,小池 克明・浜 孝之・福山 英一・藤本 仁・馬渕 守・村田 澄彦・林 為人・柏谷 公希・武川 順一・袴田 昌高・石塚 師也・神谷 奈々・久保 大樹・日下 英史・小林 和弥・陳 友晴・宮澤 直己・吉光 奈奈,4回生以上,前期,"金3,4",工学部専門科目,地球工学科,,2025
地球工学デザインC,伊藤 禎彦・高岡 昌輝・越後 信哉・大下 和徹・中西 智宏・多田 悠人,4回生以上,前期,"水3,4",工学部専門科目,地球工学科,,2025
エネルギー工学入門,浜 孝之・藤本 仁・馬渕 守・柏谷 公希・武川 順一・袴田 昌高・久保 大樹・吉光 奈奈,2回生以上,後期,火2,工学部専門科目,地球工学科,,2025
資源工学材料実験,浜 孝之・馬渕 守・奈良 禎太・袴田 昌高・陳 友晴・宮澤 直己・吉光 奈奈,3回生以上,後期,"水3,4,5",工学部専門科目,地球工学科,,2025
基礎環境工学A,藤原 拓・伊藤 禎彦・越後 信哉・亀田 貴之・松井 康人,2回生以上,前期,金4,工学部専門科目,地球工学科,,2025
基礎環境工学B,高岡 昌輝・松田 知成・藤森 真一郎・島田 洋子,2回生以上,後期,金4,工学部専門科目,地球工学科,,2025
環境衛生学,松田 知成・松田 俊・山本 浩平・本田 晶子,3回生以上,前期,木1,工学部専門科目,地球工学科,,2025
Exercises in Infrastructure Design,ZHU Fan,1回生以上,前期,"月1,木1",工学部専門科目,地球工学科,,2025
Fundamental Mechanics,KIM Chul-Woo・八木 知己・松宮 央登,2回生以上,前期,月4,工学部専門科目,地球工学科,,2025
Prob. & Statistical Analysis & Exercises,KIM，SUNMIN,2回生以上,前期,"火3,4",工学部専門科目,地球工学科,,2025
Design for Infrastructure I,宇野 伸宏・高橋 良和・KHAYYER ABBAS・岩井 裕正・ZHU Fan,2回生以上,前期,木3,工学部専門科目,地球工学科,,2025
Systems Analysis & Exe. for Plan. & Mng.,SCHMOECKER，Jan-Dirk,2回生以上,後期,"月1,2",工学部専門科目,地球工学科,,2025
Soil Mechanics I and Exercises,渦岡 良介・澤村 康生・ZHU Fan,2回生以上,後期,"火3,4",工学部専門科目,地球工学科,,2025
Engineering Mathematics B1,QURESHI，Ali Gul,2回生以上,後期,木2,工学部専門科目,地球工学科,,2025
Structural Mechanics I and Exercises,KIM Chul-Woo・CHANG，Kai-Chun,2回生以上,後期,"金1,2",工学部専門科目,地球工学科,,2025
Dynamics of Soil and Structures,五十嵐 晃・後藤 浩之,3回生以上,前期,月2,工学部専門科目,地球工学科,,2025
Construction Materials,山本 貴士・高谷 哲,3回生以上,前期,月1,工学部専門科目,地球工学科,,2025
Structural Mechanics II and Exercises,北根 安雄・後藤 浩之,3回生以上,前期,"月4,5",工学部専門科目,地球工学科,,2025
Continuum Mechanics,KHAYYER ABBAS・ZHU Fan・五十里 洋行,3回生以上,前期,火5,工学部専門科目,地球工学科,,2025
Fundamentals of Hydrology,市川 温・立川 康人・佐山 敬洋・山口 弘誠・萬 和明,3回生以上,前期,火3,工学部専門科目,地球工学科,,2025
Soil Mechanics II and Exercises,安原 英明・岩井 裕正・橋本 涼太・ZHU Fan,3回生以上,前期,"水1,2",工学部専門科目,地球工学科,,2025
Exp on Soil M & Ex,岸田 潔・渦岡 良介・後藤 浩之・岩井 裕正・上田 恭平・澤村 康生・高井 敦史・橋本 涼太・加藤 智大・三好 貴子・Yu Rongguang,3回生以上,前期,"水3,4",工学部専門科目,地球工学科,,2025
Plan & Mng of S Sys,QURESHI，Ali Gul・SCHMOECKER，Jan-Dirk・松田 曜子,3回生以上,前期,木2,工学部専門科目,地球工学科,,2025
Engineering Mathematics B2,SCHMOECKER，Jan-Dirk,3回生以上,前期,金1,工学部専門科目,地球工学科,,2025
Public Economics,多々納 裕一・大西 正光,3回生以上,前期,木1,工学部専門科目,地球工学科,,2025
Urban and Regional Planning,QURESHI，Ali Gul,3回生以上,後期,月4,工学部専門科目,地球工学科,,2025
Transportation Management Engineering,SCHMOECKER，Jan-Dirk,3回生以上,後期,月3,工学部専門科目,地球工学科,,2025
Geoenvironmental Engineering,勝見 武・渦岡 良介,3回生以上,後期,火1,工学部専門科目,地球工学科,,2025
Rock Engineering,岸田 潔・安原 英明・ZHU Fan・橋本 涼太,3回生以上,後期,火2,工学部専門科目,地球工学科,,2025
Design for Infrastructure II,ZHU Fan・岩井 裕正,3回生以上,後期,火4,工学部専門科目,地球工学科,,2025
Water Resources Engineering,立川 康人・堀 智晴・KIM，SUNMIN,3回生以上,後期,水1,工学部専門科目,地球工学科,,2025
International Internship,岩井 裕正,3回生以上,後期集中,集中講義,工学部専門科目,地球工学科,,2025
"E & WR of S, & RSDP",北根 安雄・高橋 良和・八木 知己・後藤 浩之・野口 恭平・松本 理佐,3回生以上,後期,金3,工学部専門科目,地球工学科,,2025
Concrete Engineering,山本 貴士・高谷 哲,3回生以上,後期,水5,工学部専門科目,地球工学科,,2025
CP & Exp on Struct M,北根 安雄・五十嵐 晃・KIM Chul-Woo・後藤 浩之・西藤 潤・古川 愛子・松宮 央登・CHANG，Kai-Chun・植村 佳大・野口 恭平・松本 理佐,3回生以上,後期,"金4,5",工学部専門科目,地球工学科,,2025
Graduation Research,大西 正光・松中 亮治,4回生以上,通年集中,集中講義,工学部専門科目,地球工学科,,2025
Hydraulics I and Exercises,後藤 仁志・KHAYYER ABBAS・志村 智也,2回生以上,後期,"水3,4",工学部専門科目,地球工学科,,2025
Hydraulics II,後藤 仁志・原田 英治・KHAYYER ABBAS・五十里 洋行・音田 慎一郎,3回生以上,前期,火4,工学部専門科目,地球工学科,,2025
River/Coastal Engineering,後藤 仁志・山上 路生・音田 慎一郎・KHAYYER ABBAS・小林 草平・清水 裕真,3回生以上,後期,水2,工学部専門科目,地球工学科,,2025
Experiments on Hydraulics(Enrolled after 2020),市川 温・後藤 仁志・立川 康人・原田 英治・川池 健司・山上 路生・森 信人・五十里 洋行・音田 慎一郎・志村 智也・山口 弘誠・萬 和明・清水 裕真・田中 智大・田﨑 拓海・小柴 孝太・宮下 卓也・山野井 一輝・山田 真史,3回生以上,後期,"木3,4",工学部専門科目,地球工学科,,2025
"Introduction to Civil, Environmental and Resources Eng",ZHU Fan,1回生以上,前期,水4,工学部専門科目,地球工学科,,2025
"Computer Prg in Civil, Environmental and Resources Eng",ZHU Fan,1回生以上,後期,木5,工学部専門科目,地球工学科,,2025
特別研究(土木工学コース),大西 正光・松中 亮治,4回生以上,通年集中,集中講義,工学部専門科目,地球工学科,,2025
特別研究(資源工学コース),浜 孝之・袴田 昌高,4回生以上,通年集中,集中講義,工学部専門科目,地球工学科,,2025
特別研究(環境工学コース),西村 文武・田中 周平,4回生以上,通年集中,集中講義,工学部専門科目,地球工学科,,2025
工業数学Ａ１,柴山 允瑠,2回生以上,後期,木2,工学部専門科目,情報学科,,2025
工業数学Ａ２,藤原 宏志,3回生以上,前期,水1,工学部専門科目,情報学科,,2025
工業数学Ａ３,辻本 諭,3回生以上,前期,月2,工学部専門科目,情報学科,,2025
工学倫理,新津 葵一・石田 泰一郎・今堀 博・鈴木 基史・立場 貴文・梅野 健・杉安 和憲・花崎 秀史・河瀬 元明・岸田 恭輔・大西 正光・金多 隆・伊藤 禎彦・林 和希・中川 雅之,4回生以上,前期,木3,工学部専門科目,,,2025
工学序論,山本 貴士・荒木 慶一・花崎 秀史・野村 泰伸・生越 友樹・伊藤 孝行・木谷 哲夫・石塚 師也,1回生以上,前期集中,集中講義,工学部専門科目,,,2025
工学部国際インターンシップ１,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,,2025
グローバル・リーダーシップセミナー I (企業調査研究),平井 義和,2回生以上,通年集中,集中講義,工学部専門科目,,,2025
工学部国際インターンシップ２,"本多 充・KOWHAKUL, Wasana",3回生以上,通年集中,集中講義,工学部専門科目,,,2025
グローバル・リーダーシップセミナー II (イノベーションとその事業化),本多 充・平井 義和,2回生以上,後期集中,集中講義,工学部専門科目,,,2025
量子物理学１（材原宇）〈情報〉,伊藤 秋男,3回生以上,前期,金2,工学部専門科目,情報学科,,2025
量子物理学２（材原宇）〈情報〉,伊藤 秋男,3回生以上,後期,火1,工学部専門科目,情報学科,,2025
エレクトロニクス入門（機宇）〈情報〉,粟野 皓光・上野 嶺,2回生以上,前期,月4,工学部専門科目,情報学科,,2025
電子回路,杉山 和彦,2回生以上,前期,金2,工学部専門科目,情報学科,,2025
通信基礎論,原田 博司・水谷 圭一,3回生以上,前期,水1,工学部専門科目,情報学科,,2025
システム解析入門（数理）,森本 淳,2回生以上,後期,火2,工学部専門科目,情報学科,,2025
プログラミング言語（計算機）,五十嵐 淳,2回生以上,後期,月2,工学部専門科目,情報学科,,2025
計算機科学実験及演習２（計算機）,末永 幸平・丁 世堯・近藤 一晃・安戸 僚汰・和賀 正樹・明石 望洋・新 恭兵,2回生以上,後期,"火3,4",工学部専門科目,情報学科,,2025
数値解析,吉川 仁,2回生以上,後期,水3,工学部専門科目,情報学科,,2025
確率と統計,下平 英寿,3回生以上,前期,水2,工学部専門科目,情報学科,,2025
グラフ理論（計算機）,川原 純,2回生以上,後期,木4,工学部専門科目,情報学科,,2025
グラフ理論（数理）,原口 和也,2回生以上,前期,木2,工学部専門科目,情報学科,,2025
応用代数学,辻本 諭,3回生以上,後期,月2,工学部専門科目,情報学科,,2025
計算機科学実験及演習４（計算機）,末永 幸平・BRSCIC， Drazen・井本 桂右・井上 昂治・下西 慶,3回生以上,後期,"木3,4,金1,2,3,4",工学部専門科目,情報学科,,2025
アルゴリズム論,湊 真一,3回生以上,後期,木2,工学部専門科目,情報学科,,2025
現代制御論（数理）,加嶋 健司,4回生以上,前期,火2,工学部専門科目,情報学科,,2025
情報システム理論（数理）,田中 利幸,3回生以上,後期,木2,工学部専門科目,情報学科,,2025
論理システム（計算機）,湊 真一,2回生以上,前期,水2,工学部専門科目,情報学科,,2025
論理システム（数理）,福田 秀美,2回生以上,前期,水2,工学部専門科目,情報学科,,2025
解析力学（数理）,青柳 富誌生,2回生以上,後期,水2,工学部専門科目,情報学科,,2025
線形制御理論,加嶋 健司,3回生以上,後期,水3,工学部専門科目,情報学科,,2025
数理工学セミナー（数理）,筒 広樹・山口 義幸・川越 大輔・小渕 智之・辻 徹郎,3回生以上,後期,金2,工学部専門科目,情報学科,,2025
最適化（数理）,山下 信雄・原口 和也,3回生以上,後期,水2,工学部専門科目,情報学科,,2025
力学系の数学,柴山 允瑠,3回生以上,前期,火3,工学部専門科目,情報学科,,2025
信号とシステム,林 和則,3回生以上,前期,木1,工学部専門科目,情報学科,,2025
計算機科学実験及演習３（計算機）,末永 幸平・川原 純・安戸 僚汰・下西 慶・和賀 正樹・池渕 未来・長野 匡隼,3回生以上,前期,"木3,4,5,金1,2,3,4,5",工学部専門科目,情報学科,,2025
計算と論理,五十嵐 淳,3回生以上,後期,火2,工学部専門科目,情報学科,,2025
基礎数理演習（数理）,山口 義幸・筒 広樹・原田 健自・小林 克樹,2回生以上,前期,"火3,4",工学部専門科目,情報学科,,2025
プログラミング演習（数理:H30以前入学者）,原田 健自・筒 広樹・山口 義幸,2回生以上,前期,"月3,4",工学部専門科目,情報学科,,2025
